generation,treatment,line,nymph,alive,dead,%dead,%alive
5,Wasp,4,193,96,97,50,50
5,Relaxed wasp,4,189,187,2,1,99
5,Control,5,335,332,3,1,99
5,Wasp,6,211,110,101,48,52
5,Relaxed wasp,6,203,202,1,0,100
5,Wasp,7,231,129,102,44,56
5,Relaxed wasp,7,229,229,0,0,100
5,Control,8,269,260,9,3,97
5,Wasp,9,184,94,90,49,51
5,Relaxed wasp,9,172,168,4,2,98
5,Control,10,278,272,6,2,98
5,Control,11,267,253,14,5,95
5,Wasp,12,177,91,86,49,51
5,Relaxed wasp,12,171,171,0,0,100
5,Wasp,13,192,100,92,48,52
5,Relaxed wasp,13,186,186,0,0,100
5,Control,14,296,287,9,3,97
5,Control,15,372,370,2,1,99
5,Wasp,16,183,97,86,47,53
5,Relaxed wasp,16,172,170,2,1,99
5,Control,17,266,266,0,0,100
5,Wasp,18,201,110,91,45,55
5,Relaxed wasp,18,189,185,4,2,98
5,Wasp,19,236,124,112,47,53
5,Relaxed wasp,19,234,233,1,0,100
5,Control,20,284,284,0,0,100
5,Wasp,21,174,92,82,47,53
5,Relaxed wasp,21,162,156,6,4,96
5,Control,22,258,254,4,2,98
5,Wasp,23,132,65,67,51,49
5,Relaxed wasp,23,119,116,3,3,97
5,Control,24,297,292,5,2,98
5,Control,25,281,279,2,1,99
5,Wasp,26,199,97,102,51,49
5,Relaxed wasp,26,187,178,9,5,95
5,Wasp,27,208,113,95,46,54
5,Relaxed wasp,27,201,199,2,1,99
5,Control,28,244,243,1,0,100
5,Control,29,265,265,0,0,100
5,Wasp,30,204,100,104,51,49
5,Relaxed wasp,30,196,196,0,0,100
5,Control,31,293,290,3,1,99
5,Wasp,32,186,90,96,52,48
5,Relaxed wasp,32,171,170,1,1,99
5,Control,33,348,342,6,2,98
5,Wasp,34,177,100,77,44,56
5,Relaxed wasp,34,165,161,4,2,98
5,Wasp,35,154,78,76,49,51
5,Relaxed wasp,35,139,136,3,2,98
5,Control,36,274,274,0,0,100
5,Control,37,299,299,0,0,100
5,Wasp,38,132,68,64,48,52
5,Relaxed wasp,38,121,121,0,0,100
5,Wasp,39,144,68,76,53,47
5,Relaxed wasp,39,136,130,6,4,96
5,Control,40,261,260,1,0,100
6,Control,1,176,174,2,1,99
6,Control wasp,1,162,64,98,60,40
6,Wasp,2,151,83,68,45,55
6,Relaxed wasp,2,169,82,87,51,49
6,Relaxed control,2,169,167,2,1,99
6,Control,3,182,182,0,0,100
6,Control wasp,3,144,52,92,64,36
6,Wasp,4,183,109,74,40,60
6,Relaxed wasp,4,172,84,88,51,49
6,Relaxed control,4,174,174,0,0,100
6,Control,5,149,149,0,0,100
6,Control wasp,5,171,63,108,63,37
6,Wasp,6,144,78,66,46,54
6,Relaxed wasp,6,144,64,80,56,44
6,Relaxed control,6,155,151,4,3,97
6,Wasp,7,171,89,82,48,52
6,Relaxed wasp,7,118,55,63,53,47
6,Relaxed control,7,134,134,0,0,100
6,Control,8,156,152,4,3,97
6,Control wasp,8,158,55,103,65,35
6,Wasp,9,159,93,66,42,58
6,Relaxed wasp,9,136,71,65,48,52
6,Relaxed control,9,132,131,1,1,99
6,Control,10,144,144,0,0,100
6,Control wasp,10,161,55,106,66,34
6,Control,11,172,172,0,0,100
6,Control wasp,11,155,65,90,58,42
6,Wasp,12,162,90,72,44,56
6,Relaxed wasp,12,131,59,72,55,45
6,Relaxed control,12,122,120,2,2,98
6,Wasp,13,111,58,53,48,52
6,Relaxed wasp,13,164,81,83,51,49
6,Relaxed control,13,141,141,0,0,100
6,Control,14,188,185,3,2,98
6,Control wasp,14,172,68,104,60,40
6,Control,15,133,133,0,0,100
6,Control wasp,15,166,64,102,61,39
6,Wasp,16,128,66,62,48,52
6,Relaxed wasp,16,148,68,80,54,46
6,Relaxed control,16,156,156,0,0,100
6,Control,17,127,127,0,0,100
6,Control wasp,17,145,60,85,59,41
6,Wasp,18,147,81,66,45,55
6,Relaxed wasp,18,192,82,110,57,43
6,Relaxed control,18,131,128,3,2,98
6,Wasp,19,195,116,79,41,59
6,Relaxed wasp,19,188,100,88,47,53
6,Relaxed control,19,127,127,0,0,100
6,Control,20,143,143,0,0,100
6,Control wasp,20,162,56,106,65,35
6,Wasp,21,164,100,64,39,61
6,Relaxed wasp,21,154,69,85,55,45
6,Relaxed control,21,144,144,0,0,100
6,Control,22,161,160,1,1,99
6,Control wasp,22,147,45,102,69,31
6,Wasp,23,178,100,78,44,56
6,Relaxed wasp,23,164,80,84,51,49
6,Relaxed control,23,136,135,1,1,99
6,Control,24,117,114,3,3,97
6,Control wasp,24,125,55,70,56,44
6,Control,25,125,121,4,3,97
6,Control wasp,25,122,46,76,62,38
6,Wasp,26,135,74,55,41,55
6,Relaxed wasp,26,177,85,92,52,48
6,Relaxed control,26,172,169,3,2,98
6,Wasp,27,122,72,50,41,59
6,Relaxed wasp,27,132,67,65,49,51
6,Relaxed control,27,144,144,0,0,100
6,Control,28,122,122,0,0,100
6,Control wasp,28,139,62,77,55,45
6,Control,29,134,133,1,1,99
6,Control wasp,29,164,57,107,65,35
6,Wasp,30,149,79,70,47,53
6,Relaxed wasp,30,198,97,101,51,49
6,Relaxed control,30,193,191,2,1,99
6,Control,31,139,139,0,0,100
6,Control wasp,31,128,46,82,64,36
